corpus: preloaded/doaj_en
subcorpus: -
size: 20967
query: Query:[word="we"] []? [word="aimed|wanted"] [word="to"] [tag="VV"]
word,Frequency,Freq. per million
administer, 2, 0.00060
detail, 2, 0.00060
outline, 2, 0.00060
weigh, 2, 0.00060
place, 2, 0.00060
abolish, 2, 0.00060
meet, 2, 0.00060
err, 2, 0.00060
mutate, 2, 0.00060
optimise, 2, 0.00060
attach, 2, 0.00060
listen, 2, 0.00060
encompass, 2, 0.00060
benefit, 2, 0.00060
decode, 2, 0.00060
formulate, 2, 0.00060
submit, 2, 0.00060
remind, 1, 0.00030
pseudo-randomize, 1, 0.00030
block, 1, 0.00030
heat, 1, 0.00030
shield, 1, 0.00030
visualise, 1, 0.00030
investigat, 1, 0.00030
send, 1, 0.00030
pit, 1, 0.00030
rationalize, 1, 0.00030
coat, 1, 0.00030
found, 1, 0.00030
motivate, 1, 0.00030
adress, 1, 0.00030
hang, 1, 0.00030
contact, 1, 0.00030
visit, 1, 0.00030
approximate, 1, 0.00030
polymerize, 1, 0.00030
ease, 1, 0.00030
amplify, 1, 0.00030
mean, 1, 0.00030
enter, 1, 0.00030
reconsider, 1, 0.00030
read, 1, 0.00030
transduce, 1, 0.00030
functionalize, 1, 0.00030
inoculate, 1, 0.00030
subject, 1, 0.00030
agree, 1, 0.00030
factor, 1, 0.00030
infect, 1, 0.00030
immobilize, 1, 0.00030
purse, 1, 0.00030
diminish, 1, 0.00030
force, 1, 0.00030
remain, 1, 0.00030
equalize, 1, 0.00030
translate, 1, 0.00030
co-express, 1, 0.00030
recycle, 1, 0.00030
reect, 1, 0.00030
stretch, 1, 0.00030
prolong, 1, 0.00030
ablate, 1, 0.00030
omit, 1, 0.00030
merge, 1, 0.00030
regroup, 1, 0.00030
compose, 1, 0.00030
invite, 1, 0.00030
attenuate, 1, 0.00030
bypass, 1, 0.00030
structure, 1, 0.00030
perturb, 1, 0.00030
adopt, 1, 0.00030
localise, 1, 0.00030
exaggerate, 1, 0.00030
harvest, 1, 0.00030
lower, 1, 0.00030
standardise, 1, 0.00030
relieve, 1, 0.00030
confront, 1, 0.00030
believe, 1, 0.00030
equate, 1, 0.00030
query, 1, 0.00030
release, 1, 0.00030
unify, 1, 0.00030
affirm, 1, 0.00030
preincubate, 1, 0.00030
settle, 1, 0.00030
throw, 1, 0.00030
clear, 1, 0.00030
fine, 1, 0.00030
higgsize, 1, 0.00030
influence, 1, 0.00030
alleviate, 1, 0.00030
parameterize, 1, 0.00030
conjugate, 1, 0.00030
evidence, 1, 0.00030
tell, 1, 0.00030
con, 1, 0.00030
delimit, 1, 0.00030
underpin, 1, 0.00030
restrain, 1, 0.00030
pool, 1, 0.00030
indentify, 1, 0.00030
view, 1, 0.00030
conceive, 1, 0.00030
grow, 1, 0.00030
cross-reference, 1, 0.00030
activate, 1, 0.00030
penalize, 1, 0.00030
buy, 1, 0.00030
parallel, 1, 0.00030
synthesise, 1, 0.00030
orthogonalize, 1, 0.00030
capitalize, 1, 0.00030
operationalise, 1, 0.00030
publish, 1, 0.00030
satisfy, 1, 0.00030
direct, 1, 0.00030
kick, 1, 0.00030
shorten, 1, 0.00030
coarsen, 1, 0.00030
uncouple, 1, 0.00030
tag, 1, 0.00030
proof, 1, 0.00030
recapture, 1, 0.00030
escape, 1, 0.00030
reassure, 1, 0.00030
swap, 1, 0.00030
testify, 1, 0.00030
harness, 1, 0.00030
arrive, 1, 0.00030
hide, 1, 0.00030
distribute, 1, 0.00030
oppose, 1, 0.00030
suggest, 1, 0.00030
engender, 1, 0.00030
discount, 1, 0.00030
propagate, 1, 0.00030
distract, 1, 0.00030
renounce, 1, 0.00030
untangle, 1, 0.00030
supplement, 1, 0.00030
encapsulate, 1, 0.00030
formalise, 1, 0.00030
appeal, 1, 0.00030
realise, 1, 0.00030
re-affirm, 1, 0.00030
end, 1, 0.00030
lay, 1, 0.00030
supply, 1, 0.00030
enlighten, 1, 0.00030
stimulate, 1, 0.00030
hold, 1, 0.00030
flesh, 1, 0.00030
stick, 1, 0.00030
feed, 1, 0.00030
cross-validate, 1, 0.00030
inactivate, 1, 0.00030
mix, 1, 0.00030
log, 1, 0.00030
synchronize, 1, 0.00030
close, 1, 0.00030
eradicate, 1, 0.00030
date, 1, 0.00030
state, 1, 0.00030
reanalyze, 1, 0.00030
cancel, 1, 0.00030
operate, 1, 0.00030
fortify, 1, 0.00030
rank, 1, 0.00030
resume, 1, 0.00030
kick-start, 1, 0.00030
advise, 1, 0.00030
transport, 1, 0.00030
heighten, 1, 0.00030
divide, 1, 0.00030
defect, 1, 0.00030
oversample, 1, 0.00030
parametrize, 1, 0.00030
manage, 1, 0.00030
contemplate, 1, 0.00030
steer, 1, 0.00030
leverage, 1, 0.00030
imitate, 1, 0.00030
pray, 1, 0.00030
incubate, 1, 0.00030
flag, 1, 0.00030
reside, 1, 0.00030
quantitate, 1, 0.00030
bias, 1, 0.00030
issue, 1, 0.00030
claim, 1, 0.00030
adhere, 1, 0.00030
seed, 1, 0.00030
fractionate, 1, 0.00030
prompt, 1, 0.00030
stabilize, 1, 0.00030
code, 1, 0.00030
render, 1, 0.00030
split, 1, 0.00030
pursue, 1, 0.00030
play, 1, 0.00030
substitute, 1, 0.00030
digitize, 1, 0.00030
ameliorate, 1, 0.00030
admit, 1, 0.00030
de-confound, 1, 0.00030
alert, 1, 0.00030
down-regulate, 1, 0.00030
print, 1, 0.00030
redress, 1, 0.00030
augment, 1, 0.00030
rationalise, 1, 0.00030
vary, 1, 0.00030
attain, 1, 0.00030
surpass, 1, 0.00030
venture, 1, 0.00030
remodel, 1, 0.00030
conceal, 1, 0.00030
compensate, 1, 0.00030
regenerate, 1, 0.00030
recommend, 1, 0.00030
speed, 1, 0.00030
return, 1, 0.00030
proceed, 1, 0.00030
cross-check, 1, 0.00030
determinethe, 1, 0.00030
advocate, 1, 0.00030
favor, 1, 0.00030
group, 1, 0.00030
yield, 1, 0.00030
price, 1, 0.00030
transfect, 1, 0.00030
catch, 1, 0.00030
showcase, 1, 0.00030
reassert, 1, 0.00030
weaken, 1, 0.00030
regard, 1, 0.00030
break, 1, 0.00030
reconcile, 1, 0.00030
refer, 1, 0.00030
acquire, 1, 0.00030
pull, 1, 0.00030
engage, 1, 0.00030
enlarge, 1, 0.00030
live, 1, 0.00030
upregulate, 1, 0.00030
appear, 1, 0.00030
survive, 1, 0.00030
